station_name,address,slow_count,fast_count,station_ids,n_ids,confidence,prefixes
부산남부경찰서,부산광역시 남구 황령대로319번가길 81,0,2,ME22C256;BNOH3901;ST601309,3,다른 사업자(강한 의심),BNOH;ME;ST
중구 대흥동 제5공영,대전광역시 중구 보문로230번길 35중구 대흥동 제5공영,2,0,IVDJDH5P;NEDJDH5P,2,다른 사업자(강한 의심),IVDJDH;NEDJDH
도룡동(하) 공영주차장,대전광역시 유성구 도룡동 395-10도룡동(하)공영주차장,2,1,IVDJDRDW;NEDJDRDW,2,다른 사업자(강한 의심),IVDJDRDW;NEDJDRDW
도룡동(상) 공영주차장,대전광역시 유성구 도룡동 385-1도룡동(상)공영주차장,2,1,IVDJDRUP;NEDJDRUP,2,다른 사업자(강한 의심),IVDJDRUP;NEDJDRUP
중구 대사동 제2공영,대전광역시 중구 보문산공원로497번안길 34중구 대사동 제2공영,2,1,IVDJDS2P;NEDJDS2P,2,다른 사업자(강한 의심),IVDJDS;NEDJDS
읍내동 575-5 공영주차장,대전광역시 대덕구 읍내동 575-5,2,0,IVDJENPP;NEDJENPP,2,다른 사업자(강한 의심),IVDJENPP;NEDJENPP
대전 엑스포 한빛탑 주차장,대전광역시 유성구 대덕대로 480엑스포 한빛탑 주차장,8,2,IVDJEXPO;NEDJEXPO,2,다른 사업자(강한 의심),IVDJEXPO;NEDJEXPO
파머스마켓,대전광역시 유성구 도안대로 93파머스마켓 베지래빗804,3,0,IVDJFMMK;NEDJFMMK,2,다른 사업자(강한 의심),IVDJFMMK;NEDJFMMK
가온비즈타워,대전광역시 대덕구 대화로 1201,12,1,IVDJGAON;NEDJGAON,2,다른 사업자(강한 의심),IVDJGAON;NEDJGAON
정려각 공영주차장,대전광역시 대덕구 중리동 498-2정려각 공영주차장,2,0,IVDJJRGP;NEDJJRGP,2,다른 사업자(강한 의심),IVDJJRGP;NEDJJRGP
대전보건대학교,대전광역시 동구 충정로 21탐구관 지하주차장 1층,4,0,IVDJNBOG;NEDJNBOG,2,다른 사업자(강한 의심),IVDJNBOG;NEDJNBOG
대전광역시 유성구 봉산동299 공영주차장,대전광역시 유성구 봉산동299 공영주차장,2,0,IVDJNBON;NEDJNBON,2,다른 사업자(강한 의심),IVDJNBON;NEDJNBON
반석동 제1공영주차장,대전광역시 유성구 반석동 641반석동 제1공영주차장,2,0,IVDJNBS1;NEDJNBS1,2,다른 사업자(강한 의심),IVDJNBS;NEDJNBS
반석동714 공영주차장,대전광역시 유성구 반석동 714공영주차장,2,0,IVDJNBS7;NEDJNBS7,2,다른 사업자(강한 의심),IVDJNBS;NEDJNBS
대전광역시 중앙시장 제3공영주차장,대전광역시 동구 대전로797번길 27제3공영주차장빌딩 2~4층,8,1,IVDJNCEN;NEDJNCEN,2,다른 사업자(강한 의심),IVDJNCEN;NEDJNCEN
한촌공원 공영주차장,대전광역시 대덕구 한밭대로1114번길 34-8한촌공원 공영주차장,2,0,IVDJNCHO;NEDJNCHO,2,다른 사업자(강한 의심),IVDJNCHO;NEDJNCHO
CNCITY에너지 본사,대전광역시 중구 유등천동로 762,4,0,IVDJNCNC;NEDJNCNC,2,다른 사업자(강한 의심),IVDJNCNC;NEDJNCNC
한국침례신학대학교,대전광역시 유성구 하기동 산15-6 침례신학대학교,4,0,IVDJNCRU;NEDJNCRU,2,다른 사업자(강한 의심),IVDJNCRU;NEDJNCRU
대전광역시 유성구 덕명동 513 공영주차장,대전광역시 유성구 덕명동 513공영주차장,2,0,IVDJNDM1;NEDJNDM1,2,다른 사업자(강한 의심),IVDJNDM;NEDJNDM
구암동657 공영주차장,대전광역시 유성구 구암동 657공영주차장,2,0,IVDJNDM2;NEDJNDM2,2,다른 사업자(강한 의심),IVDJNDM;NEDJNDM
대전광역시 유성구 덕명동 544 공영주차장,대전광역시 유성구 덕명동 544공영주차장,2,0,IVDJNDM4;NEDJNDM4,2,다른 사업자(강한 의심),IVDJNDM;NEDJNDM
대전광역시 유성구 덕명동530 공영주차장,대전광역시 유성구 덕명동 530공영주차장,2,0,IVDJNDM6;NEDJNDM6,2,다른 사업자(강한 의심),IVDJNDM;NEDJNDM
동춘당생애길 제2공영주차장,대전광역시 대덕구 계족산로 20동춘당생애길 제2공영주차장,2,1,IVDJNDON;NEDJNDON,2,다른 사업자(강한 의심),IVDJNDON;NEDJNDON
대전광역시 유성구 덕명동545 공영주차장,대전광역시 유성구 덕명동545공영주차장,2,0,IVDJNDU1;NEDJNDU1,2,다른 사업자(강한 의심),IVDJNDU;NEDJNDU
대전광역시 유성구 덕명동588 공영주차장,대전광역시 유성구 덕명동588 공영주차장,2,1,IVDJNDU2;NEDJNDU2,2,다른 사업자(강한 의심),IVDJNDU;NEDJNDU
대전동부 모범운전자쉼터(택시),대전광역시 동구 동산초교로23번길 41-18운전자쉼터 주차장,2,0,IVDJNEAS;NEDJNEAS,2,다른 사업자(강한 의심),IVDJNEAS;NEDJNEAS
길치문화공원 공영주차장,대전광역시 대덕구 신상로 65길치문화공원 공영주차장,4,1,IVDJNGIL;NEDJNGIL,2,다른 사업자(강한 의심),IVDJNGIL;NEDJNGIL
대전광역시 유성구 관평동 제3공영주차장,대전광역시 유성구 관평동 788관평동 제3공영주차장,2,0,IVDJNGP3;NEDJNGP3,2,다른 사업자(강한 의심),IVDJNGP;NEDJNGP
학하지구 제11공영주차장,대전광역시 유성구 학하동 721-12학하지구 제11공영주차장,2,0,IVDJNH11;NEDJNH11,2,다른 사업자(강한 의심),IVDJNH;NEDJNH
학하지구 제12공영주차장,대전광역시 유성구 계산동 717-3학하지구 제12공영주차장,2,0,IVDJNH12;NEDJNH12,2,다른 사업자(강한 의심),IVDJNH;NEDJNH
학하지구 제13공영주차장,대전광역시 유성구 복용동 585-1학하지구 제13공영주차장,2,0,IVDJNH13;NEDJNH13,2,다른 사업자(강한 의심),IVDJNH;NEDJNH
학하지구 제14공영주차장,대전광역시 유성구 복용동 569-1학하지구 제14공영주차장,2,0,IVDJNH14;NEDJNH14,2,다른 사업자(강한 의심),IVDJNH;NEDJNH
학하지구 제2공영주차장,대전광역시 유성구 복용동 604-1학하지구 제2공영주차장,2,0,IVDJNHA2;NEDJNHA2,2,다른 사업자(강한 의심),IVDJNHA;NEDJNHA
학하지구 제3공영주차장,대전광역시 유성구 학하동 714-9학하지구 제3공영주차장,2,0,IVDJNHA3;NEDJNHA3,2,다른 사업자(강한 의심),IVDJNHA;NEDJNHA
학하지구 제4공영주차장,대전광역시 유성구 학하동 721-1학하지구 제4공영주차장,2,1,IVDJNHA4;NEDJNHA4,2,다른 사업자(강한 의심),IVDJNHA;NEDJNHA
학하지구 제5공영주차장,대전광역시 유성구 덕명동 595학하지구 제5공영주차장,2,0,IVDJNHA5;NEDJNHA5,2,다른 사업자(강한 의심),IVDJNHA;NEDJNHA
학하지구 제6공영주차장,대전광역시 유성구 계산동 758-7학하지구 제6공영주차장,2,0,IVDJNHA6;NEDJNHA6,2,다른 사업자(강한 의심),IVDJNHA;NEDJNHA
학하지구 제7공영주차장,대전광역시 유성구 학하동 747-1학하지구 제7공영주차장,2,1,IVDJNHA7;NEDJNHA7,2,다른 사업자(강한 의심),IVDJNHA;NEDJNHA
학하지구 제8공영주차장,대전광역시 유성구 학하동 778-2학하지구 제8공영주차장,2,1,IVDJNHA8;NEDJNHA8,2,다른 사업자(강한 의심),IVDJNHA;NEDJNHA
중리행복1길 공영주차장,대전광역시 대덕구 중리동 196-10중리행복1길 공영주차장,2,0,IVDJNHAP;NEDJNHAP,2,다른 사업자(강한 의심),IVDJNHAP;NEDJNHAP
대전열병합발전 사옥,대전광역시 대덕구 신일동 1675-5대전열병합발전 사옥,1,0,IVDJNHEA;NEDJNHEA,2,다른 사업자(강한 의심),IVDJNHEA;NEDJNHEA
회덕동 공영주차장,대전광역시 대덕구 읍내동 247-3회덕동 공영주차장,2,0,IVDJNHWE;NEDJNHWE,2,다른 사업자(강한 의심),IVDJNHWE;NEDJNHWE
대전광역시 유성구 장대동 공영주차장,대전광역시 유성구 유성대로729번길 40장대동공영주차장,5,0,IVDJNJAN;NEDJNJAN,2,다른 사업자(강한 의심),IVDJNJAN;NEDJNJAN
자양동 공영주차장빌딩,대전광역시 동구 동대전로144번길 63공영주차장빌딩 1층,2,1,IVDJNJAY;NEDJNJAY,2,다른 사업자(강한 의심),IVDJNJAY;NEDJNJAY
대전광역시 유성구 전민동 행정복지센터,대전광역시 유성구 유성대로1689번길 6전민동행정복지센터 주차장,2,0,IVDJNJEA;NEDJNJEA,2,다른 사업자(강한 의심),IVDJNJEA;NEDJNJEA
송촌동 진가쟁이 공영주차장,대전광역시 대덕구 선비마을로5번길 24송촌동 진가쟁이 공영주차,2,0,IVDJNJIN;NEDJNJIN,2,다른 사업자(강한 의심),IVDJNJIN;NEDJNJIN
중리 만남 공영주차장,대전광역시 대덕구 중리남로8번길 4중리 만남 공영주차장,1,0,IVDJNJLM;NEDJNJLM,2,다른 사업자(강한 의심),IVDJNJLM;NEDJNJLM
전민동 제1공영주차장,대전광역시 유성구 전민동 332-6전민동 제1공영주차장,2,0,IVDJNJM1;NEDJNJM1,2,다른 사업자(강한 의심),IVDJNJM;NEDJNJM
